"Date","Cases by reported date"
"2,020-01-15","0"
"2,020-01-16","0"
"2,020-01-17","0"
"2,020-01-18","0"
"2,020-01-19","0"
"2,020-01-20","0"
"2,020-01-21","0"
"2,020-01-22","0"
"2,020-01-23","2"
"2,020-01-24","1"
"2,020-01-25","0"
"2,020-01-26","0"
"2,020-01-27","0"
"2,020-01-28","0"
"2,020-01-29","0"
"2,020-01-30","0"
"2,020-01-31","0"
"2,020-02-01","0"
"2,020-02-02","0"
"2,020-02-03","0"
"2,020-02-04","0"
"2,020-02-05","0"
"2,020-02-06","0"
"2,020-02-07","0"
"2,020-02-08","0"
"2,020-02-09","0"
"2,020-02-10","0"
"2,020-02-11","0"
"2,020-02-12","0"
"2,020-02-13","0"
"2,020-02-14","0"
"2,020-02-15","0"
"2,020-02-16","0"
"2,020-02-17","0"
"2,020-02-18","0"
"2,020-02-19","0"
"2,020-02-20","0"
"2,020-02-21","1"
"2,020-02-22","0"
"2,020-02-23","0"
"2,020-02-24","0"
"2,020-02-25","1"
"2,020-02-26","1"
"2,020-02-27","2"
"2,020-02-28","5"
"2,020-02-29","4"
"2,020-03-01","2"
"2,020-03-02","0"
"2,020-03-03","2"
"2,020-03-04","1"
"2,020-03-05","4"
"2,020-03-06","3"
"2,020-03-07","3"
"2,020-03-08","6"
"2,020-03-09","7"
"2,020-03-10","8"
"2,020-03-11","24"
"2,020-03-12","36"
"2,020-03-13","33"
"2,020-03-14","33"
"2,020-03-15","35"
"2,020-03-16","53"
"2,020-03-17","58"
"2,020-03-18","61"
"2,020-03-19","70"
"2,020-03-20","102"
"2,020-03-21","70"
"2,020-03-22","88"
"2,020-03-23","146"
"2,020-03-24","172"
"2,020-03-25","139"
"2,020-03-26","247"
"2,020-03-27","296"
"2,020-03-28","227"
"2,020-03-29","222"
"2,020-03-30","438"
"2,020-03-31","411"
"2,020-04-01","451"
"2,020-04-02","448"
"2,020-04-03","472"
"2,020-04-04","349"
"2,020-04-05","372"
"2,020-04-06","484"
"2,020-04-07","454"
"2,020-04-08","489"
"2,020-04-09","488"
"2,020-04-10","396"
"2,020-04-11","473"
"2,020-04-12","544"
"2,020-04-13","608"
"2,020-04-14","563"
"2,020-04-15","614"
"2,020-04-16","586"
"2,020-04-17","752"
"2,020-04-18","603"
"2,020-04-19","574"
"2,020-04-20","619"
"2,020-04-21","536"
"2,020-04-22","548"
"2,020-04-23","511"
"2,020-04-24","428"
"2,020-04-25","431"
"2,020-04-26","362"
"2,020-04-27","490"
"2,020-04-28","407"
"2,020-04-29","407"
"2,020-04-30","409"
"2,020-05-01","484"
"2,020-05-02","334"
"2,020-05-03","343"
"2,020-05-04","334"
"2,020-05-05","408"
"2,020-05-06","349"
"2,020-05-07","298"
"2,020-05-08","302"
"2,020-05-09","311"
"2,020-05-10","293"
"2,020-05-11","209"
"2,020-05-12","260"
"2,020-05-13","354"
"2,020-05-14","329"
"2,020-05-15","384"
"2,020-05-16","374"
"2,020-05-17","418"
"2,020-05-18","379"
"2,020-05-19","330"
"2,020-05-20","392"
"2,020-05-21","345"
"2,020-05-22","397"
"2,020-05-23","368"
"2,020-05-24","341"
"2,020-05-25","401"
"2,020-05-26","275"
"2,020-05-27","328"
"2,020-05-28","326"
"2,020-05-29","626"
"2,020-05-30","347"
"2,020-05-31","392"
"2,020-06-01","398"
"2,020-06-02","371"
"2,020-06-03","354"
"2,020-06-04","281"
"2,020-06-05","275"
"2,020-06-06","226"
"2,020-06-07","207"
"2,020-06-08","216"
"2,020-06-09","218"
"2,020-06-10","240"
"2,020-06-11","189"
"2,020-06-12","240"
"2,020-06-13","177"
"2,020-06-14","147"
"2,020-06-15","182"
"2,020-06-16","169"
"2,020-06-17","114"
